position,name,team,level,league,nationality,dob,age,overall,potential,salary,years_left,contract_value,total_years
C,Juan Sebastián Vazquez,Salt Lake,MLB,MLB,CUB,02/19/2032,35,3.0,3.0,1560000.0,3,8730000.0,6
RP,Ricardo Montano,Nashville,MLB,MLB,CUB,10/25/2033,34,3.5,3.5,1540000.0,1,3080000.0,2
RP,Takeshi Higashi,Washington,MLB,MLB,JPN,02/17/2031,36,3.0,3.0,1520000.0,1,3040000.0,2
SP,Anthony Riopelle,Montreal,MLB,MLB,USA,06/26/2040,27,3.5,4.0,1520000.0,0,1520000.0,1
SP,Ruben Andujar,Miami,MLB,MLB,MEX,09/27/2031,36,3.0,3.0,1470000.0,1,5880000.0,4
1B,Mattingly Olerud,Philadelphia,MLB,MLB,USA,05/20/2038,29,3.0,3.0,1470000.0,2,4410000.0,3
SS,Isaiah Koehler,Cincinnati,MLB,MLB,USA,08/23/2036,31,3.0,3.0,1450000.0,3,4350000.0,3
SS,Aaron Papaleo,Colorado,MLB,MLB,USA,04/23/2033,34,3.0,3.0,1450000.0,1,2900000.0,2
RP,Kenichi Shitamura,San Francisco,MLB,MLB,JPN,07/25/2028,39,3.0,3.0,1440000.0,0,1440000.0,1
RP,Carter Aiken,Vancouver,MLB,MLB,CAN,09/29/2038,29,3.5,3.5,1430000.0,3,4290000.0,3
2B,Irwin Gonzalez,Nashville,MLB,MLB,USA,11/19/2034,33,3.0,3.0,1430000.0,2,9668000.0,8
LF,Bryon Humphrey,Albuquerque,MLB,MLB,USA,01/31/2034,34,3.0,3.0,1430000.0,2,9598000.0,8
SP,Roger Joh,Arizona,MLB,MLB,USA,03/31/2039,28,3.5,4.0,1430000.0,2,3970000.0,3
RP,Braxton McCarthy,Portland,MLB,MLB,USA,05/16/2036,31,3.5,3.5,1430000.0,2,5720000.0,4
CF,Kim Valtonen,Arizona,MLB,MLB,FIN,03/05/2037,30,3.0,3.0,1430000.0,2,5110000.0,4
CL,Keisuke Kato,Tampa Bay,MLB,MLB,JPN,01/24/2031,37,4.0,4.0,1420000.0,1,1420000.0,1
RP,Valeriano Garcia,Washington,MLB,MLB,PUR,03/31/2029,38,3.0,3.0,1400000.0,1,4200000.0,3
C,Andy Johnson,Arizona,MLB,MLB,USA,04/29/2040,27,4.5,5.0,1400000.0,2,7020000.0,9
CL,Ervin Espinoza,San Francisco,MLB,MLB,USA,09/11/2041,26,5.0,5.0,1390000.0,0,1390000.0,1
C,Bob Wheat,Albuquerque,MLB,MLB,USA,11/01/2041,26,5.0,5.0,1390000.0,0,1390000.0,1
SP,Billy Chapel,San Francisco,MLB,MLB,USA,11/01/2043,24,5.0,5.0,1375000.0,0,1375000.0,1
CF,Steve Miller,Boise,MLB,MLB,CAN,07/15/2039,28,3.5,4.0,1360000.0,0,1360000.0,1
C,León Castillo,Nashville,MLB,MLB,MEX,10/30/2036,31,4.5,4.5,1350000.0,2,4050000.0,3
CL,Otto Engelhardt,Chicago,MLB,MLB,USA,05/24/2038,29,5.0,5.0,1330000.0,0,1330000.0,1
LF,Jon Manriquez,Baltimore,MLB,MLB,USA,08/20/2039,28,3.5,4.0,1330000.0,0,1330000.0,1
1B,Dalton Richie,Detroit,MLB,MLB,USA,06/29/2040,27,4.5,5.0,1330000.0,8,32480000.0,8
2B,Isaiah Paul,Cleveland,MLB,MLB,USA,07/08/2034,33,3.0,3.0,1320000.0,2,3960000.0,3
CF,Dustin Reyner,Toronto,MLB,MLB,USA,03/30/2036,31,3.0,3.0,1320000.0,2,5100000.0,4
SP,Mit Suzuki,Chicago,MLB,MLB,JPN,06/07/2031,36,3.5,3.5,1320000.0,2,2640000.0,2
RP,Glenden Goforth,Toronto,MLB,MLB,USA,06/08/2037,30,3.5,3.5,1290000.0,2,3870000.0,3
C,Kennedy Howe,Philadelphia,MLB,MLB,CAN,10/02/2039,28,4.5,4.5,1280000.0,0,1280000.0,1
RF,Gerard Gonzalez,Cincinnati,MLB,MLB,PUR,01/12/2040,28,5.0,5.0,1278200.0,0,1278200.0,1
CL,Omar Mendoza,Austin,MLB,MLB,USA,05/04/2042,25,5.0,5.0,1260000.0,0,1260000.0,1
LF,Emanuel Gómez,Albuquerque,MLB,MLB,PUR,11/03/2039,28,4.5,5.0,1210000.0,4,10160000.0,5
CF,Ean Hope,San Diego,MLB,MLB,USA,07/07/2036,31,3.5,3.5,1210000.0,6,19880000.0,7
1B,Franco Vázquez,San Francisco,MLB,MLB,CUB,12/18/2029,38,3.0,3.0,1200000.0,2,3600000.0,3
RF,M.J. Watkins,Carolina,MLB,MLB,USA,07/31/2039,28,3.5,4.0,1170000.0,7,16380000.0,8
3B,Sawyer Bush,Miami,MLB,MLB,USA,10/04/2036,31,3.0,3.0,1160000.0,1,2320000.0,2
SP,Noah Ganson,Cincinnati,MLB,MLB,CAN,06/21/2036,31,3.0,3.0,1160000.0,1,3480000.0,3
C,David Marín,Salt Lake,MLB,MLB,PUR,10/27/2038,29,4.5,4.5,1160000.0,0,1160000.0,1
SS,Westhers Canizales,Tampa Bay,MLB,MLB,PUR,12/30/2039,28,4.0,4.5,1150000.0,0,1150000.0,1
CF,Gideon Moser,Nashville,MLB,MLB,USA,09/28/2038,29,4.0,4.0,1150000.0,0,1150000.0,1
2B,Bastian Sosa,New Orleans,MLB,MLB,CUB,12/17/2039,28,5.0,5.0,1150000.0,0,1150000.0,1
SP,Gabe Groff,Vancouver,MLB,MLB,USA,04/04/2039,28,3.5,4.0,1110000.0,3,9030000.0,4
LF,Juan Jose,San Francisco,MLB,MLB,CUB,07/27/2036,31,4.5,4.5,1110000.0,6,21210000.0,7
1B,Blake Abernathy,Cleveland,MLB,MLB,SCO,12/22/2031,36,3.0,3.0,1090000.0,2,3270000.0,3
SP,Leo Andrade,Albuquerque,MLB,MLB,CUB,05/06/2042,25,3.5,3.5,1080000.0,0,1080000.0,1
LF,Yean Espino,Milwaukee,MLB,MLB,MEX,02/23/2041,26,5.0,5.0,1080000.0,0,1080000.0,1
RF,Jack Gauthier,New Orleans,MLB,MLB,CAN,06/01/2038,29,4.0,4.5,1070000.0,0,1070000.0,1
CL,Dilan Schupp,Albuquerque,MLB,MLB,USA,08/20/2029,38,4.0,4.0,1070000.0,1,2140000.0,2
LF,Generro Ritch,Baltimore,MLB,MLB,USA,12/12/2036,31,3.0,3.0,1060000.0,1,1060000.0,1
2B,Justin Aubé,Carolina,MLB,MLB,CAN,12/28/2034,33,2.5,2.5,1050000.0,2,4444000.0,5
RP,Jonny Talker,Salt Lake,MLB,MLB,PUR,10/12/2040,27,2.5,2.5,1050000.0,0,1050000.0,1
RF,Aaron Judge,New York,MLB,MLB,USA,04/26/2046,21,5.0,5.0,1040000.0,0,1040000.0,1
CF,Colton Kennedy,San Francisco,MLB,MLB,CAN,03/03/2038,29,3.0,3.0,1040000.0,0,1040000.0,1
SP,Eric Li,Minnesota,MLB,MLB,CAN,09/18/2039,28,3.0,3.5,1040000.0,2,3640000.0,4
RP,Miguel Mendoza,Portland,MLB,MLB,MEX,09/24/2033,34,3.0,3.0,1040000.0,1,2080000.0,2
C,Troy Yu,Carolina,MLB,MLB,CAN,05/11/2040,27,5.0,5.0,1040000.0,0,1040000.0,1
RP,Will Postma,Boston,MLB,MLB,CAN,12/11/2035,32,2.5,2.5,1033600.0,0,1033600.0,1
RP,Domingo Durán,Portland,MLB,MLB,MEX,06/12/2028,39,3.5,3.5,1010000.0,1,1010000.0,1
LF,BUSTER MILLS,Chicago,MLB,MLB,IRL,09/16/2039,28,5.0,5.0,1000000.0,2,7000000.0,7
C,David Blackburn,Minnesota,MLB,MLB,USA,10/29/2033,34,3.5,3.5,990000.0,2,7052000.0,8
CF,Harrison Buenoventura,Miami,MLB,MLB,MEX,11/04/2033,34,2.5,2.5,990000.0,1,4510000.0,5
SP,Wes Christian,Carolina,MLB,MLB,USA,04/06/2040,27,3.0,4.0,990000.0,0,990000.0,1
2B,Julio Diaz,San Francisco,MLB,MLB,USA,08/20/2042,25,3.5,5.0,990000.0,0,990000.0,1
RF,Jadison Moya,Tampa Bay,MLB,MLB,PUR,12/27/2038,29,3.5,3.5,990000.0,0,990000.0,1
SP,Salvador Pedroza,Boise,MLB,MLB,PUR,08/03/2035,32,3.0,3.0,990000.0,2,1980000.0,2
3B,Derek Schwab,St. Louis,MLB,MLB,USA,07/14/2034,33,3.0,3.0,990000.0,1,3570000.0,4
RF,Vince Lugo,Salt Lake,MLB,MLB,USA,04/24/2038,29,3.0,3.5,980000.0,3,3190000.0,3
3B,Fabian Ramos,Detroit,MLB,MLB,PUR,05/24/2038,29,3.0,3.5,980000.0,3,3170000.0,3
SP,Zach Cordova,Cleveland,MLB,MLB,USA,05/17/2034,33,3.0,3.0,960000.0,1,1920000.0,2
CF,Otto Perez,Oakland,MLB,MLB,PUR,07/19/2041,26,5.0,5.0,960000.0,2,5860000.0,2
SP,Mackay Rudolph,Philadelphia,MLB,MLB,USA,10/30/2038,29,3.0,3.0,960000.0,0,960000.0,1
RP,Basil Traylor,San Francisco,MLB,MLB,USA,11/12/2034,33,3.5,3.5,960000.0,1,960000.0,1
SS,Jared Wilhelm,Austin,MLB,MLB,CAN,06/23/2036,31,3.0,3.0,960000.0,1,1920000.0,2
LF,Stu Altstadt,Minnesota,MLB,MLB,CAN,08/03/2038,29,3.0,3.0,950000.0,0,950000.0,1
3B,Robinson Douglas,Minnesota,MLB,MLB,USA,05/25/2042,25,4.5,4.5,950000.0,0,950000.0,1
CF,BILLY HOY,Washington,MLB,MLB,NOR,05/23/2043,24,2.5,3.5,950000.0,0,950000.0,1
SS,Joël Marier,Oakland,MLB,MLB,CAN,09/05/2037,30,3.0,3.0,950000.0,2,2850000.0,3
RP,Harrison Simmons,Detroit,MLB,MLB,USA,12/06/2036,31,2.5,2.5,950000.0,1,950000.0,1
C,Sammie Bermejo,Washington,MLB,MLB,PUR,11/13/2039,28,4.0,4.0,940000.0,0,940000.0,1
RF,Rhys Chapman,Boston,MLB,MLB,AUS,09/12/2042,25,5.0,5.0,940000.0,0,940000.0,1
SS,Daniel Dees,San Francisco,MLB,MLB,USA,01/15/2041,27,4.5,4.5,940000.0,0,940000.0,1
1B,Timéo Fortin,Philadelphia,MLB,MLB,CAN,08/19/2034,33,2.5,2.5,940000.0,1,4540000.0,5
SP,Tommy Paquette,Milwaukee,MLB,MLB,CAN,04/08/2035,32,2.5,2.5,940000.0,1,940000.0,1
1B,Wayne Pohl,San Diego,MLB,MLB,USA,07/31/2040,27,3.5,4.0,940000.0,0,940000.0,1
RF,Colin Quirk,St. Louis,MLB,MLB,USA,12/03/2038,29,3.5,3.5,940000.0,0,940000.0,1
3B,Cory Wellman,Omaha,MLB,MLB,USA,10/07/2038,29,3.5,3.5,940000.0,0,940000.0,1
RF,Nicolas Wheeler,Albuquerque,MLB,MLB,CAN,09/16/2034,33,3.0,3.0,940000.0,0,940000.0,1
2B,Ashton Perez,San Diego,MLB,MLB,USA,06/16/2040,27,4.5,5.0,930750.0,0,930750.0,1
CL,Jermaine Andrew,Minnesota,MLB,MLB,CAN,07/09/2036,31,3.0,3.0,920000.0,1,920000.0,1
SP,Johnny Dingler,Atlanta,MLB,MLB,USA,09/08/2040,27,3.0,4.0,920000.0,0,920000.0,1
RP,Camilo Reed,Boise,MLB,MLB,USA,02/25/2035,32,3.5,3.5,920000.0,1,2760000.0,3
CF,Evan Filipowski,Detroit,MLB,MLB,USA,03/10/2037,30,3.0,3.0,910000.0,2,1880000.0,2
SS,Robbie Jones,Los Angeles,MLB,MLB,CAN,10/27/2038,29,3.0,3.0,910000.0,3,2730000.0,3
SS,James Gardner,Minnesota,MLB,MLB,USA,08/21/2037,30,3.0,3.0,900000.0,0,900000.0,1
RP,Declan Grace,Colorado,MLB,MLB,USA,05/08/2038,29,2.5,2.5,900000.0,1,900000.0,1
LF,José Miguel Aceves,Boise,MLB,MLB,PUR,11/18/2038,29,4.0,4.5,890000.0,7,22490000.0,7
CF,Hiski Karjalainen,Salt Lake,MLB,MLB,FIN,09/23/2040,27,2.5,2.5,890000.0,0,890000.0,1
2B,Luke Moore,Baltimore,MLB,MLB,USA,06/13/2037,30,3.0,3.0,890000.0,1,1780000.0,2
RF,Hue Padilla,Carolina,MLB,MLB,MEX,05/25/2037,30,3.0,3.0,890000.0,0,890000.0,1
SP,Vicente Peña,Colorado,MLB,MLB,PUR,11/17/2042,25,4.0,5.0,890000.0,6,20290000.0,6
SP,Gary Stewart,Philadelphia,MLB,MLB,USA,06/26/2041,26,4.5,5.0,890000.0,0,890000.0,1
RF,BRANDON TOYOSHIMA JR.,Philadelphia,MLB,MLB,USA,02/22/2040,27,4.0,4.5,880000.0,0,880000.0,1
C,Iván Espinoza,Arizona,MLB,MLB,MEX,10/09/2032,35,3.0,3.0,870000.0,1,870000.0,1
SS,Lloyd Fleming,Boise,MLB,MLB,USA,10/25/2039,28,3.5,3.5,870000.0,0,870000.0,1
1B,Pedro Ortega,Milwaukee,MLB,MLB,MEX,07/11/2033,34,2.5,2.5,870000.0,4,3480000.0,4
CF,Bryn Pandora,Austin,MLB,MLB,USA,11/22/2037,30,3.0,3.0,860000.0,1,2580000.0,3
RP,Keith Stutts,Montreal,MLB,MLB,USA,09/19/2039,28,3.5,3.5,860000.0,5,5170000.0,5
RP,Nil Taveras,San Francisco,MLB,MLB,PUR,10/12/2033,34,3.0,3.0,860000.0,1,860000.0,1
LF,Blake Macomber,St. Louis,MLB,MLB,USA,10/20/2031,36,2.0,2.0,854700.0,0,854700.0,1
SP,Terry McGinnis,New Orleans,MLB,MLB,USA,07/24/2031,36,2.5,2.5,840000.0,1,840000.0,1
1B,Yorbis Quezada,Boise,MLB,MLB,CUB,10/07/2034,33,3.0,3.0,840000.0,2,1680000.0,2
C,C.J. Vazquez,Austin,MLB,MLB,PUR,08/30/2036,31,3.5,3.5,840000.0,2,2460000.0,3
C,Yuko Hara,Cleveland,MLB,MLB,JPN,04/02/2028,39,3.0,3.0,820000.0,0,820000.0,1
RP,Richie Henson,San Diego,MLB,MLB,USA,06/13/2035,32,2.5,2.5,820000.0,0,820000.0,1
C,Hugo Houde,Vancouver,MLB,MLB,CAN,04/20/2042,25,2.5,3.0,820000.0,0,820000.0,1
RP,Dorin Johnson,Albuquerque,MLB,MLB,USA,06/02/2036,31,3.0,3.0,820000.0,1,820000.0,1
3B,K.J. Nunez,Toronto,MLB,MLB,USA,11/27/2039,28,4.0,4.0,820000.0,0,820000.0,1
SP,Martin Santos,Milwaukee,MLB,MLB,CUB,01/24/2033,35,2.5,2.5,820000.0,1,820000.0,1
SP,Checker Campbell,Tampa Bay,MLB,MLB,USA,03/23/2041,26,3.5,5.0,810000.0,0,810000.0,1
1B,Ignacio Ojeda,Houston,MLB,MLB,PUR,05/21/2040,27,4.0,4.5,810000.0,8,18420000.0,8
CL,Hidetaka Nakasato,Cincinnati,MLB,MLB,JPN,08/04/2028,39,2.5,2.5,800000.0,2,2340000.0,3
SP,Kurt Webb,Salt Lake,MLB,MLB,USA,11/22/2038,29,2.5,3.0,800000.0,0,800000.0,1
RP,Hudson Agostinelli,Nashville,MLB,MLB,USA,09/14/2035,32,3.5,3.5,790000.0,2,1580000.0,2
SP,Toyohisa Islam,Albuquerque,MLB,MLB,IDN,07/13/2030,37,3.0,3.0,790000.0,1,790000.0,1
CF,Teddy Allar,New York,MLB,MLB,USA,03/24/2042,25,4.0,4.5,780000.0,0,780000.0,1
CF,Max Ingram,New York,MLB,MLB,USA,05/21/2040,27,3.0,3.0,780000.0,0,780000.0,1
SP,Terrence Newkirk,Kansas City,MLB,MLB,USA,09/05/2040,27,2.5,3.0,780000.0,1,780000.0,1
LF,Giovani Roe,Atlanta,MLB,MLB,USA,03/20/2039,28,3.0,3.0,780000.0,0,780000.0,1
SP,Joe Axelson,San Diego,MLB,MLB,USA,02/25/2038,29,2.5,3.0,770000.0,0,770000.0,1
RP,Roy Bartlett,Toronto,MLB,MLB,USA,02/26/2039,28,3.0,3.0,770000.0,0,770000.0,1
SS,Derek Carpenter,Albuquerque,MLB,MLB,USA,12/23/2040,27,3.0,3.0,770000.0,0,770000.0,1
SP,Pio Lozada,Cincinnati,MLB,MLB,PUR,11/19/2037,30,2.5,2.5,770000.0,0,770000.0,1
SP,Julius McCullough,Carolina,MLB,MLB,USA,05/18/2042,25,3.5,3.5,770000.0,0,770000.0,1
2B,Jonatan Rodriguez,Washington,MLB,MLB,PUR,08/31/2037,30,3.0,3.0,770000.0,0,770000.0,1
SP,Masayuki Sakai,Houston,MLB,MLB,JPN,12/18/2039,28,3.0,3.0,770000.0,0,770000.0,1
SP,Kyle Wing,Toronto,MLB,MLB,USA,05/03/2039,28,4.5,5.0,770000.0,3,5674000.0,4
CL,Earnest Akin,Miami,MLB,MLB,USA,11/22/2033,34,3.5,3.5,760000.0,1,760000.0,1
CL,Benjamim da Silva,Philadelphia,MLB,MLB,POR,02/26/2037,30,3.0,3.0,760000.0,2,1520000.0,2
RP,Heath Morrill,Cleveland,MLB,MLB,USA,12/02/2030,37,3.0,3.0,760000.0,1,760000.0,1
RF,Mason Scotland,Boston,MLB,MLB,USA,01/03/2030,38,3.0,3.0,760000.0,1,760000.0,1
RP,Kenny Tavani,Tampa Bay,MLB,MLB,USA,01/25/2033,35,3.0,3.0,760000.0,1,2280000.0,3
1B,Robert Boe,Miami,MLB,MLB,LBR,10/31/2039,28,4.0,4.5,750000.0,0,750000.0,1
SP,Hollie Fleisch,Boston,MLB,MLB,USA,09/18/2029,38,2.5,2.5,750000.0,1,750000.0,1
RP,Shane Leroux,Milwaukee,MLB,MLB,USA,04/24/2036,31,3.5,3.5,750000.0,1,750000.0,1
LF,Shannon Lucas,Minnesota,MLB,MLB,USA,12/06/2038,29,3.0,3.5,750000.0,0,750000.0,1
RP,Yeison Marquez,San Francisco,MLB,MLB,PUR,02/26/2039,28,3.0,3.0,750000.0,0,750000.0,1
SP,Stan Wallace,Colorado,MLB,MLB,SCO,06/10/2026,41,2.5,2.5,750000.0,1,1500000.0,2
SP,Ron Weeks,Oakland,MLB,MLB,USA,11/18/2030,37,2.5,2.5,750000.0,1,750000.0,1
SP,Perry Condon,Cincinnati,MLB,MLB,USA,12/14/2039,28,3.5,4.0,740000.0,0,740000.0,1
SP,Christopher Nicholson,Philadelphia,MLB,MLB,USA,12/01/2034,33,3.0,3.0,740000.0,2,1480000.0,2
RF,Julian Thomas,Albuquerque,MLB,MLB,USA,11/18/2035,32,4.0,4.0,740000.0,1,1480000.0,2
SP,Dave Torres,Carolina,MLB,MLB,USA,01/05/2042,26,3.5,5.0,740000.0,0,740000.0,1
2B,John Abraham,San Diego,MLB,MLB,USA,10/27/2039,28,3.0,3.0,720000.0,0,720000.0,1
RP,Gael Cook,Boise,MLB,MLB,USA,07/03/2038,29,2.5,2.5,720000.0,0,720000.0,1
SP,Ed Cowan,Montreal,MLB,MLB,USA,10/16/2039,28,3.5,4.0,720000.0,0,720000.0,1
1B,Ruben Cox,Carolina,MLB,MLB,USA,09/20/2039,28,3.0,3.0,720000.0,0,720000.0,1
3B,Ivan Diaz,Oakland,MLB,MLB,PUR,01/13/2039,29,3.0,3.5,720000.0,0,720000.0,1
SP,Zachary Guadalupe,Los Angeles,MLB,MLB,COL,06/15/2029,38,2.5,2.5,720000.0,2,1440000.0,2
SP,Hirofumi Hirai,Baltimore,MLB,MLB,JPN,12/26/2031,36,2.5,2.5,720000.0,0,720000.0,1
CF,Justin Hofstetter,Carolina,MLB,MLB,USA,08/05/2040,27,3.5,3.5,720000.0,0,720000.0,1
RP,Masahide Kobayashi,Seattle,MLB,MLB,JPN,04/29/2029,38,2.0,2.0,720000.0,0,720000.0,1
C,Michael Mounts,Boise,MLB,MLB,USA,09/15/2037,30,3.5,3.5,720000.0,4,4280000.0,4
SS,Dedrick Murawski,New Orleans,MLB,MLB,USA,04/30/2040,27,3.0,3.0,720000.0,0,720000.0,1
C,Sadao Samurakami,New Orleans,MLB,MLB,JPN,07/28/2027,40,3.0,3.0,720000.0,0,720000.0,1
RP,Yamil Lombardi,Minnesota,MLB,MLB,PUR,01/27/2033,35,3.0,3.0,700000.0,1,700000.0,1
2B,Tomas McNamara,Atlanta,MLB,MLB,USA,06/07/2035,32,3.0,3.0,700000.0,0,1400000.0,2
RP,Baker Ryan,Colorado,MLB,MLB,USA,11/17/2040,27,3.5,3.5,700000.0,0,700000.0,1
SP,Nick Alonzo,Omaha,MLB,MLB,CUB,12/31/2042,25,2.5,3.0,690000.0,0,690000.0,1
RP,Diego Fernández,Minnesota,MLB,MLB,VEN,07/25/2030,37,2.5,2.5,690000.0,1,690000.0,1
3B,Dylan Vella,Salt Lake,MLB,MLB,USA,06/01/2038,29,3.0,3.0,690000.0,3,2420000.0,3
SP,Ronald Zobel,Los Angeles,MLB,MLB,USA,01/22/2038,30,2.5,2.5,690000.0,1,690000.0,1
SP,Gerardo Aguilera,Boise,MLB,MLB,CUB,01/18/2038,30,2.5,2.5,680000.0,1,680000.0,1
RP,Isaiah Delacruz,Carolina,MLB,MLB,CUB,10/23/2031,36,2.5,2.5,680000.0,0,680000.0,1
RP,Chuck Pizarro,Portland,MLB,MLB,USA,08/09/2035,32,3.0,3.0,680000.0,1,680000.0,1
RP,Noah Aguirre,Chicago,MLB,MLB,PUR,01/23/2042,26,4.0,4.0,670000.0,0,670000.0,1
1B,Van Alfonso,Nashville,MLB,MLB,PUR,12/21/2038,29,3.0,3.5,670000.0,0,670000.0,1
SP,Gambia Broadnax,Los Angeles,MLB,MLB,USA,09/27/2038,29,2.5,2.5,670000.0,0,670000.0,1
RP,Diego Buena,Detroit,MLB,MLB,PUR,08/25/2038,29,3.5,3.5,670000.0,0,670000.0,1
1B,Isaac Byler,Baltimore,MLB,MLB,USA,10/14/2036,31,2.5,2.5,670000.0,0,670000.0,1
RP,Sebastian Camacho,Boise,MLB,MLB,MEX,02/14/2033,34,3.0,3.0,670000.0,0,670000.0,1
RP,Cody Cleveland,Carolina,MLB,MLB,USA,08/17/2035,32,2.5,2.5,670000.0,0,670000.0,1
RP,Milan Ferguson,Detroit,MLB,MLB,CAN,03/15/2034,33,3.0,3.0,670000.0,2,1340000.0,2
C,Josh Fletcher,Toronto,MLB,MLB,USA,09/09/2040,27,3.5,3.5,670000.0,0,670000.0,1
SP,Sam Florio,St. Louis,MLB,MLB,USA,10/26/2038,29,2.5,2.5,670000.0,0,670000.0,1
C,John Fulkerson,Boston,MLB,MLB,USA,08/22/2035,32,3.5,3.5,670000.0,1,1240000.0,2
SP,MARLON HIGGINS,Atlanta,MLB,MLB,BRB,11/01/2038,29,3.0,3.0,670000.0,1,2888000.0,5
2B,Merv Hoppes,Philadelphia,MLB,MLB,USA,08/22/2040,27,3.5,3.5,670000.0,0,670000.0,1
CL,Jacob Imboden,New Orleans,MLB,MLB,USA,02/17/2041,26,3.0,3.0,670000.0,0,670000.0,1
3B,Kade Kelley,Milwaukee,MLB,MLB,USA,08/21/2037,30,3.0,3.0,670000.0,0,670000.0,1
CF,Preston Lopez,Colorado,MLB,MLB,PUR,09/14/2038,29,2.5,2.5,670000.0,0,670000.0,1
SS,Mason Mims,Philadelphia,MLB,MLB,USA,10/17/2036,31,3.0,3.0,670000.0,1,1340000.0,2
C,Jerónimo Morales,Kansas City,MLB,MLB,PUR,01/19/2040,28,3.0,3.0,670000.0,0,670000.0,1
RP,Dave Quinn,Carolina,MLB,MLB,CAN,07/04/2034,33,2.5,2.5,670000.0,0,670000.0,1
SP,Rudy Rogers,Tampa Bay,MLB,MLB,USA,10/24/2040,27,3.0,3.0,670000.0,0,670000.0,1
RP,Linus Santiago,San Diego,MLB,MLB,PUR,08/04/2038,29,2.5,3.0,670000.0,0,670000.0,1
SP,Camden Slater,Omaha,MLB,MLB,USA,07/09/2038,29,3.5,3.5,670000.0,0,670000.0,1
RP,Iván Soto,Minnesota,MLB,MLB,MEX,02/25/2040,27,2.5,2.5,670000.0,0,670000.0,1
SP,Dennet Swaner,Philadelphia,MLB,MLB,CAN,02/20/2039,28,3.0,3.5,670000.0,3,2550000.0,3
SP,Jayden Torres,Portland,MLB,MLB,MEX,08/12/2043,24,3.0,3.5,670000.0,0,670000.0,1
C,Ray Trnka,Omaha,MLB,MLB,CAN,06/04/2039,28,4.0,4.0,670000.0,4,5220000.0,4
C,Eddie Valeri,Colorado,MLB,MLB,USA,10/14/2038,29,4.0,4.5,670000.0,0,670000.0,1
1B,Carlos Vásquez,Arizona,MLB,MLB,CUB,12/14/2036,31,2.5,2.5,670000.0,1,2010000.0,3
2B,Pastor Enrique Williams,Milwaukee,MLB,MLB,USA,03/12/2034,33,2.5,2.5,670000.0,2,1340000.0,2
RP,Elian Willison,Philadelphia,MLB,MLB,USA,02/11/2035,32,3.0,3.0,670000.0,2,1880000.0,3
1B,Brett York,Colorado,MLB,MLB,USA,07/04/2039,28,3.0,3.0,670000.0,4,3882000.0,5
C,Rich Autry,Albuquerque,MLB,MLB,USA,03/19/2029,38,2.5,2.5,660000.0,2,1320000.0,2
RP,Damon Delgado,Detroit,MLB,MLB,PUR,03/30/2033,34,3.0,3.0,660000.0,1,660000.0,1
SP,Vince Smart,Colorado,MLB,MLB,USA,06/25/2037,30,3.0,3.0,660000.0,1,660000.0,1
RP,Aledmis Ortega,Salt Lake,MLB,MLB,PUR,10/15/2031,36,2.5,2.5,650000.0,1,650000.0,1
SP,Tom Briggs,San Diego,MLB,MLB,USA,04/05/2036,31,2.5,2.5,640000.0,0,1280000.0,2
RP,Harrison Canessa,Philadelphia,MLB,MLB,PUR,09/04/2031,36,2.5,2.5,640000.0,3,1860000.0,3
SS,Luca Gregorio,Seattle,MLB,MLB,CUB,11/30/2031,36,3.0,3.0,640000.0,1,640000.0,1
RP,Max Murtha,Cleveland,MLB,MLB,USA,03/20/2039,28,2.5,3.0,640000.0,1,640000.0,1
RP,Devin Li,Chicago,MLB,MLB,CAN,10/30/2040,27,2.5,2.5,635592.0,0,635592.0,1
RF,Bowie Mishkin,San Diego,MLB,MLB,USA,02/27/2040,27,3.5,3.5,630000.0,0,630000.0,1
1B,Justin Stegman,Baltimore,MLB,MLB,CAN,07/19/2032,35,3.0,3.0,630000.0,1,2520000.0,4
1B,Ricardo Campos,Oakland,MLB,MLB,USA,04/28/2040,27,3.5,4.5,620000.0,0,620000.0,1
SP,Luke Wood,Milwaukee,MLB,MLB,CAN,06/06/2038,29,2.5,3.0,620000.0,0,620000.0,1
RP,Chase Adler,San Diego,MLB,MLB,USA,11/09/2038,29,2.5,3.0,610000.0,0,610000.0,1
RP,Sam Jones,Nashville,MLB,MLB,USA,05/31/2040,27,4.5,4.5,610000.0,0,610000.0,1
3B,Gregorio Nava,Boston,MLB,MLB,PUR,07/28/2038,29,2.5,3.0,610000.0,0,610000.0,1
C,Tyrone Bell,Detroit,MLB,MLB,USA,04/13/2037,30,3.0,3.0,600000.0,1,600000.0,1
2B,Roger Dai,San Diego,MLB,MLB,USA,10/08/2037,30,2.5,2.5,600000.0,0,600000.0,1
SP,Vicente Escamilla,Atlanta,MLB,MLB,PUR,08/13/2038,29,3.0,3.5,600000.0,0,600000.0,1
SS,Sergio Horton,Omaha,MLB,MLB,USA,02/08/2039,28,3.0,3.0,600000.0,0,600000.0,1
SS,Robbie Johnson,Cleveland,MLB,MLB,USA,09/29/2039,28,3.0,3.5,600000.0,0,600000.0,1
RP,Neil Jost,Colorado,MLB,MLB,USA,09/11/2038,29,3.0,3.0,600000.0,0,600000.0,1
SP,Kevin Olbert,Albuquerque,MLB,MLB,USA,09/05/2041,26,3.0,3.5,600000.0,0,600000.0,1
RP,Cookie Rondon,Philadelphia,MLB,MLB,PUR,09/12/2035,32,3.5,3.5,600000.0,0,600000.0,1
